,Ticket Created Date,Total Tickets Opened,Subscription Order Count,Non Subscription Order Count,Fall,Spring,Winter,Holiday,Not Holiday,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
112,2015-12-31,477,753,684,0,0,1,0,1,0,0,0,0,1,0,0
113,2015-12-30,567,4764,646,0,0,1,0,1,0,0,0,0,0,0,1
114,2015-12-29,750,2243,674,0,0,1,0,1,0,0,0,0,0,1,0
115,2015-12-28,662,2330,629,0,0,1,0,1,0,1,0,0,0,0,0
116,2015-12-27,988,2571,704,0,0,1,0,1,0,0,0,1,0,0,0
117,2015-12-26,964,2585,703,0,0,1,0,1,0,0,1,0,0,0,0
118,2015-12-25,568,923,822,0,0,1,1,0,1,0,0,0,0,0,0
119,2015-12-24,565,778,631,0,0,1,0,1,0,0,0,0,1,0,0
120,2015-12-23,743,4943,704,0,0,1,0,1,0,0,0,0,0,0,1
121,2015-12-22,841,3119,561,0,0,1,0,1,0,0,0,0,0,1,0
122,2015-12-21,944,3054,653,0,0,1,0,1,0,1,0,0,0,0,0
123,2015-12-20,985,2957,657,0,0,1,0,1,0,0,0,1,0,0,0
124,2015-12-19,1011,2432,694,0,0,1,0,1,0,0,1,0,0,0,0
125,2015-12-18,699,1041,840,0,0,1,0,1,1,0,0,0,0,0,0
126,2015-12-17,626,839,666,0,0,1,0,1,0,0,0,0,1,0,0
127,2015-12-16,739,4514,686,0,0,1,0,1,0,0,0,0,0,0,1
128,2015-12-15,858,2718,617,0,0,1,0,1,0,0,0,0,0,1,0
129,2015-12-14,870,2294,548,0,0,1,0,1,0,1,0,0,0,0,0
130,2015-12-13,1068,2471,712,0,0,1,0,1,0,0,0,1,0,0,0
131,2015-12-12,890,1989,641,0,0,1,0,1,0,0,1,0,0,0,0
132,2015-12-11,586,820,743,0,0,1,0,1,1,0,0,0,0,0,0
133,2015-12-10,598,783,650,0,0,1,0,1,0,0,0,0,1,0,0
134,2015-12-09,792,3986,689,0,0,1,0,1,0,0,0,0,0,0,1
135,2015-12-08,799,2029,637,0,0,1,0,1,0,0,0,0,0,1,0
136,2015-12-07,832,3092,491,0,0,1,0,1,0,1,0,0,0,0,0
137,2015-12-06,924,2589,672,0,0,1,0,1,0,0,0,1,0,0,0
138,2015-12-05,953,2069,716,0,0,1,0,1,0,0,1,0,0,0,0
139,2015-12-04,560,842,772,0,0,1,0,1,1,0,0,0,0,0,0
140,2015-12-03,583,809,680,0,0,1,0,1,0,0,0,0,1,0,0
141,2015-12-02,755,4718,671,0,0,1,0,1,0,0,0,0,0,0,1
142,2015-12-01,845,1930,617,0,0,1,0,1,0,0,0,0,0,1,0
143,2015-11-30,832,1988,695,1,0,0,0,1,0,1,0,0,0,0,0
144,2015-11-29,1070,2352,735,1,0,0,0,1,0,0,0,1,0,0,0
145,2015-11-28,1063,1975,632,1,0,0,0,1,0,0,1,0,0,0,0
146,2015-11-27,848,1424,1359,1,0,0,0,1,1,0,0,0,0,0,0
147,2015-11-26,636,908,759,1,0,0,1,0,0,0,0,0,1,0,0
148,2015-11-25,846,4290,641,1,0,0,0,1,0,0,0,0,0,0,1
149,2015-11-24,907,2947,717,1,0,0,0,1,0,0,0,0,0,1,0
